# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-2 -1 1 375f1b
-1 -1 1 375f1b
-1 -3 2 487123
-1 -2 2 487123
-2 -1 2 487123
-1 -1 2 487123
-1 -1 3 59832c
-1 -1 4 628c30
-1 -7 6 4f5e64
-1 -6 6 58686f
-1 -3 6 58686f
-3 -2 6 58686f
-2 -2 6 58686f
-1 -2 6 4f5e64
-3 -1 6 58686f
-2 -1 6 4f5e64
-1 -1 6 4f5e64
-4 -11 7 61737a
-3 -11 7 61737a
-4 -10 7 61737a
-3 -10 7 61737a
-2 -10 7 61737a
-4 -9 7 61737a
-3 -9 7 61737a
-2 -9 7 61737a
-4 -8 7 61737a
-3 -8 7 61737a
-2 -8 7 61737a
-1 -8 7 58686f
-4 -7 7 61737a
-3 -7 7 61737a
-2 -7 7 58686f
-1 -7 7 58686f
-4 -6 7 61737a
-3 -6 7 61737a
-2 -6 7 58686f
-1 -6 7 58686f
-4 -5 7 61737a
-3 -5 7 61737a
-2 -5 7 61737a
-1 -5 7 61737a
-4 -4 7 61737a
-3 -4 7 61737a
-2 -4 7 58686f
-1 -4 7 58686f
-6 -3 7 61737a
-5 -3 7 61737a
-4 -3 7 58686f
-3 -3 7 58686f
-2 -3 7 58686f
-1 -3 7 58686f
-8 -2 7 61737a
-7 -2 7 61737a
-6 -2 7 58686f
-5 -2 7 58686f
-4 -2 7 58686f
-3 -2 7 58686f
-2 -2 7 58686f
-1 -2 7 4f5e64
-8 -1 7 61737a
-7 -1 7 61737a
-6 -1 7 58686f
-5 -1 7 58686f
-4 -1 7 58686f
-3 -1 7 58686f
-2 -1 7 4f5e64
-1 -1 7 58686f
-4 -12 8 61737a
-3 -12 8 61737a
-4 -11 8 61737a
-3 -11 8 61737a
-2 -11 8 61737a
-4 -10 8 61737a
-3 -10 8 61737a
-2 -10 8 61737a
-1 -10 8 61737a
-5 -9 8 697d84
-4 -9 8 61737a
-3 -9 8 61737a
-2 -9 8 61737a
-1 -9 8 61737a
-5 -8 8 697d84
-4 -8 8 61737a
-3 -8 8 61737a
-2 -8 8 61737a
-1 -8 8 61737a
-5 -7 8 697d84
-4 -7 8 61737a
-3 -7 8 61737a
-2 -7 8 697d84
-1 -7 8 61737a
-5 -6 8 697d84
-4 -6 8 61737a
-3 -6 8 61737a
-2 -6 8 61737a
-1 -6 8 61737a
-5 -5 8 61737a
-4 -5 8 61737a
-3 -5 8 61737a
-2 -5 8 61737a
-1 -5 8 61737a
-5 -4 8 61737a
-4 -4 8 61737a
-3 -4 8 61737a
-2 -4 8 61737a
-1 -4 8 61737a
-8 -3 8 697d84
-7 -3 8 697d84
-6 -3 8 61737a
-5 -3 8 61737a
-4 -3 8 61737a
-3 -3 8 61737a
-2 -3 8 61737a
-1 -3 8 61737a
-10 -2 8 697d84
-9 -2 8 697d84
-8 -2 8 61737a
-7 -2 8 61737a
-6 -2 8 61737a
-11 -1 8 697d84
-10 -1 8 697d84
-9 -1 8 61737a
-8 -1 8 61737a
-7 -1 8 61737a
-4 -12 9 697d84
-3 -12 9 697d84
-4 -11 9 697d84
-3 -11 9 697d84
-2 -11 9 697d84
-4 -10 9 697d84
-3 -10 9 697d84
-2 -10 9 697d84
-4 -9 9 697d84
-3 -9 9 697d84
-2 -9 9 697d84
-1 -9 9 697d84
-4 -8 9 697d84
-3 -8 9 697d84
-2 -8 9 697d84
-1 -8 9 697d84
-4 -7 9 697d84
-3 -7 9 697d84
-2 -7 9 697d84
-1 -7 9 72888f
-4 -6 9 697d84
-3 -6 9 697d84
-2 -6 9 697d84
-1 -6 9 72888f
-10 -5 9 72888f
-9 -5 9 72888f
-4 -5 9 697d84
-3 -5 9 72888f
-2 -5 9 72888f
-1 -5 9 697d84
-10 -4 9 72888f
-9 -4 9 72888f
-6 -4 9 72888f
-5 -4 9 72888f
-4 -4 9 697d84
-3 -4 9 72888f
-2 -4 9 72888f
-1 -4 9 72888f
-10 -3 9 72888f
-9 -3 9 72888f
-8 -3 9 72888f
-7 -3 9 72888f
-6 -3 9 72888f
-5 -3 9 72888f
-4 -3 9 697d84
-3 -3 9 697d84
-2 -3 9 697d84
-1 -3 9 697d84
-12 -2 9 72888f
-11 -2 9 72888f
-10 -2 9 72888f
-9 -2 9 72888f
-8 -2 9 72888f
-12 -1 9 72888f
-11 -1 9 697d84
-10 -1 9 72888f
-9 -1 9 72888f
-8 -1 9 72888f
-11 -6 10 7b929a
-10 -6 10 7b929a
-11 -5 10 7b929a
-10 -5 10 7b929a
-9 -5 10 7b929a
-11 -4 10 7b929a
-10 -4 10 7b929a
-9 -4 10 7b929a
-8 -4 10 7b929a
-6 -4 10 7b929a
-5 -4 10 7b929a
-4 -4 10 7b929a
-3 -4 10 47555a
-2 -4 10 47555a
-1 -4 10 7b929a
-11 -3 10 7b929a
-10 -3 10 7b929a
-9 -3 10 7b929a
-8 -3 10 7b929a
-7 -3 10 7b929a
-6 -3 10 7b929a
-5 -3 10 7b929a
-4 -3 10 7b929a
-12 -2 10 7b929a
-11 -2 10 7b929a
-10 -2 10 7b929a
-9 -2 10 7b929a
-8 -2 10 7b929a
-12 -1 10 7b929a
-11 -1 10 7b929a
-10 -1 10 7b929a
-9 -1 10 7b929a
-8 -1 10 7b929a
-7 -1 10 839ba4
-5 -4 11 839ba4
-4 -4 11 839ba4
-3 -4 11 839ba4
-2 -4 11 839ba4
-1 -4 11 839ba4
-9 -3 11 7b929a
-8 -3 11 839ba4
-7 -3 11 839ba4
-6 -3 11 839ba4
-5 -3 11 839ba4
-4 -3 11 839ba4
-3 -3 11 8ba6af
-12 -2 11 839ba4
-11 -2 11 839ba4
-10 -2 11 839ba4
-9 -2 11 839ba4
-8 -2 11 839ba4
-7 -2 11 8ba6af
-6 -2 11 8ba6af
-5 -2 11 8ba6af
-12 -1 11 839ba4
-11 -1 11 839ba4
-10 -1 11 839ba4
-9 -1 11 839ba4
-8 -1 11 839ba4
-7 -1 11 839ba4
-6 -1 11 839ba4
-5 -1 11 8ba6af
-3 -4 12 8ba6af
-2 -4 12 8ba6af
-1 -4 12 8ba6af
-5 -3 12 8ba6af
-4 -3 12 8ba6af
-3 -3 12 8ba6af
-2 -3 12 93afb9
-1 -3 12 93afb9
-12 -2 12 8ba6af
-11 -2 12 93afb9
-10 -2 12 93afb9
-9 -2 12 8ba6af
-8 -2 12 8ba6af
-7 -2 12 8ba6af
-6 -2 12 8ba6af
-5 -2 12 8ba6af
-4 -2 12 8ba6af
-3 -2 12 93afb9
-2 -2 12 93afb9
-1 -2 12 93afb9
-12 -1 12 93afb9
-11 -1 12 93afb9
-10 -1 12 93afb9
-9 -1 12 93afb9
-8 -1 12 8ba6af
-7 -1 12 8ba6af
-6 -1 12 8ba6af
-5 -1 12 93afb9
-4 -1 12 93afb9
-3 -1 12 93afb9
-2 -1 12 93afb9
-1 -1 12 9bb8c3
-1 -3 13 93afb9
-12 -2 13 9bb8c3
-11 -2 13 9bb8c3
-10 -2 13 9bb8c3
-9 -2 13 9bb8c3
-2 -2 13 93afb9
-1 -2 13 93afb9
-12 -1 13 3573a3
-11 -1 13 3573a3
-10 -1 13 9bb8c3
-9 -1 13 9bb8c3
-4 -1 13 93afb9
-3 -1 13 93afb9
-2 -1 13 93afb9
-1 -1 13 9bb8c3
-12 -2 14 a3c2cd
-11 -2 14 a3c2cd
-10 -2 14 a3c2cd
-12 -1 14 a3c2cd
-11 -1 14 a3c2cd
-10 -1 14 a3c2cd
-12 -2 15 aacad6
-11 -2 15 aacad6
-12 -1 15 aacad6
-11 -1 15 aacad6
-10 -1 15 aacad6
0 -2 1 375f1b
1 -2 1 375f1b
2 -2 1 375f1b
3 -2 1 375f1b
4 -2 1 375f1b
0 -1 1 375f1b
1 -1 1 375f1b
2 -1 1 375f1b
3 -1 1 375f1b
4 -1 1 375f1b
0 -2 2 487123
1 -2 2 487123
2 -2 2 487123
3 -2 2 487123
4 -2 2 487123
0 -1 2 487123
1 -1 2 487123
2 -1 2 487123
4 -1 2 487123
5 -1 2 487123
0 -2 3 487123
1 -2 3 59832c
2 -2 3 59832c
3 -2 3 59832c
4 -2 3 487123
0 -1 3 59832c
1 -1 3 59832c
2 -1 3 628c30
3 -1 3 59832c
4 -1 3 59832c
1 -1 4 505050
1 -1 5 505050
0 -8 6 4f5e64
1 -8 6 4f5e64
3 -8 6 3e3e3e
0 -7 6 4f5e64
1 -7 6 4f5e64
2 -7 6 4f5e64
3 -7 6 3e3e3e
0 -6 6 4f5e64
1 -6 6 4f5e64
2 -6 6 4f5e64
0 -3 6 58686f
1 -3 6 58686f
2 -3 6 58686f
0 -2 6 4f5e64
1 -2 6 4f5e64
2 -2 6 4f5e64
3 -2 6 58686f
0 -1 6 4f5e64
1 -1 6 505050
2 -1 6 4f5e64
3 -1 6 58686f
1 -9 7 58686f
0 -8 7 58686f
1 -8 7 58686f
2 -8 7 58686f
3 -8 7 3e3e3e
0 -7 7 58686f
2 -7 7 131718
3 -7 7 3e3e3e
0 -6 7 58686f
1 -6 7 58686f
2 -6 7 58686f
3 -6 7 3e3e3e
0 -5 7 58686f
1 -5 7 58686f
2 -5 7 58686f
3 -5 7 3e3e3e
0 -4 7 58686f
1 -4 7 58686f
2 -4 7 58686f
0 -3 7 58686f
1 -3 7 58686f
2 -3 7 58686f
3 -3 7 58686f
4 -3 7 487123
5 -3 7 487123
7 -3 7 cb9e78
8 -3 7 cb9e78
9 -3 7 cb9e78
0 -2 7 4f5e64
1 -2 7 4f5e64
2 -2 7 58686f
3 -2 7 58686f
4 -2 7 487123
5 -2 7 487123
6 -2 7 cb9e78
7 -2 7 cb9e78
8 -2 7 cb9e78
9 -2 7 cb9e78
10 -2 7 cb9e78
0 -1 7 58686f
1 -1 7 505050
2 -1 7 4f5e64
3 -1 7 58686f
4 -1 7 487123
5 -1 7 487123
6 -1 7 cb9e78
7 -1 7 cb9e78
8 -1 7 cb9e78
9 -1 7 cb9e78
10 -1 7 cb9e78
0 -9 8 61737a
1 -9 8 61737a
2 -9 8 61737a
0 -8 8 61737a
1 -8 8 61737a
2 -8 8 61737a
3 -8 8 3e3e3e
0 -7 8 697d84
2 -7 8 191e20
3 -7 8 3e3e3e
0 -6 8 61737a
2 -6 8 2b3438
3 -6 8 3e3e3e
0 -5 8 61737a
1 -5 8 61737a
2 -5 8 61737a
3 -5 8 3e3e3e
0 -4 8 61737a
1 -4 8 61737a
2 -4 8 61737a
3 -4 8 487123
4 -4 8 487123
5 -4 8 487123
6 -4 8 cb9e78
7 -4 8 cb9e78
8 -4 8 cb9e78
0 -3 8 61737a
1 -3 8 61737a
2 -3 8 61737a
3 -3 8 61737a
4 -3 8 487123
5 -3 8 487123
6 -3 8 cb9e78
7 -3 8 cb9e78
8 -3 8 cb9e78
9 -3 8 cb9e78
10 -3 8 cb9e78
5 -2 8 487123
6 -2 8 cb9e78
7 -2 8 cb9e78
8 -2 8 791909
9 -2 8 791909
10 -2 8 cb9e78
11 -2 8 cb9e78
6 -1 8 cb9e78
7 -1 8 cb9e78
8 -1 8 791909
9 -1 8 791909
10 -1 8 cb9e78
11 -1 8 cb9e78
0 -8 9 72888f
1 -8 9 72888f
2 -8 9 72888f
3 -8 9 3e3e3e
0 -7 9 72888f
1 -7 9 72888f
2 -7 9 72888f
3 -7 9 3e3e3e
0 -6 9 72888f
1 -6 9 72888f
2 -6 9 72888f
0 -5 9 697d84
1 -5 9 697d84
2 -5 9 697d84
0 -4 9 72888f
1 -4 9 72888f
2 -4 9 72888f
3 -4 9 487123
4 -4 9 487123
5 -4 9 cb9e78
6 -4 9 cb9e78
7 -4 9 cb9e78
0 -3 9 697d84
1 -3 9 697d84
2 -3 9 697d84
