# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-7 -16 -16 ba4300
-6 -16 -16 ba4300
-5 -16 -16 ba4300
-7 -15 -16 ba4300
-6 -15 -16 ba4300
-5 -15 -16 ba4300
-4 -15 -16 ba4300
-6 -14 -16 ba4300
-5 -14 -16 ba4300
-7 -16 -15 ba4300
-6 -16 -15 ba4300
-5 -16 -15 ba4300
-4 -16 -15 ba4300
-7 -15 -15 ba4300
-5 -15 -15 ba4300
-4 -15 -15 ba4300
-10 -14 -15 ba4300
-9 -14 -15 ba4300
-7 -14 -15 ba4300
-6 -14 -15 ba4300
-5 -14 -15 ba4300
-11 -13 -15 ba4300
-10 -13 -15 ba4300
-9 -13 -15 ba4300
-8 -13 -15 ba4300
-12 -12 -15 ba4300
-11 -12 -15 ba4300
-10 -12 -15 ba4300
-9 -12 -15 ba4300
-8 -12 -15 ba4300
-7 -12 -15 ba4300
-13 -11 -15 ba4300
-12 -11 -15 ba4300
-11 -11 -15 ba4300
-10 -11 -15 b53d00
-9 -11 -15 b53d00
-8 -11 -15 b53d00
-7 -11 -15 ba4300
-14 -10 -15 ba4300
-13 -10 -15 ba4300
-12 -10 -15 ba4300
-11 -10 -15 ba4300
-10 -10 -15 ba4300
-9 -10 -15 ba4300
-8 -10 -15 ba4300
-14 -9 -15 ba4300
-13 -9 -15 ba4300
-12 -9 -15 ba4300
-14 -8 -15 ba4300
-13 -8 -15 ba4300
-10 -8 -15 ba4300
-9 -8 -15 ba4300
-8 -8 -15 ba4300
-7 -8 -15 ba4300
-14 -7 -15 ba4300
-13 -7 -15 ba4300
-12 -7 -15 ba4300
-11 -7 -15 ba4300
-10 -7 -15 b53d00
-9 -7 -15 b53d00
-8 -7 -15 b53d00
-7 -7 -15 b53d00
-14 -6 -15 ba4300
-13 -6 -15 ba4300
-12 -6 -15 ba4300
-11 -6 -15 b53d00
-10 -6 -15 b53d00
-9 -6 -15 b53d00
-8 -6 -15 ba4300
-7 -6 -15 ba4300
-12 -5 -15 ba4300
-11 -5 -15 ba4300
-10 -5 -15 b53d00
-9 -5 -15 ba4300
-8 -5 -15 ba4300
-10 -4 -15 ba4300
-9 -4 -15 ba4300
-8 -4 -15 ba4300
-7 -16 -14 ba4300
-6 -16 -14 ba4300
-5 -16 -14 ba4300
-8 -15 -14 ba4300
-7 -15 -14 ba4300
-6 -15 -14 ba4300
-5 -15 -14 ba4300
-11 -14 -14 ba4300
-10 -14 -14 ba4300
-9 -14 -14 ba4300
-8 -14 -14 ba4300
-7 -14 -14 ba4300
-6 -14 -14 ba4300
-5 -14 -14 ba4300
-12 -13 -14 ba4300
-11 -13 -14 ba4300
-10 -13 -14 ba4300
-9 -13 -14 ba4300
-8 -13 -14 ba4300
-7 -13 -14 ba4300
-6 -13 -14 ba4300
-13 -12 -14 ba4300
-12 -12 -14 ba4300
-11 -12 -14 ba4300
-10 -12 -14 ba4300
-9 -12 -14 ba4300
-8 -12 -14 ba4300
-7 -12 -14 ba4300
-13 -11 -14 ba4300
-12 -11 -14 ba4300
-10 -11 -14 ba4300
-9 -11 -14 ba4300
-8 -11 -14 ba4300
-7 -11 -14 ba4300
-14 -10 -14 ba4300
-13 -10 -14 ba4300
-12 -10 -14 ba4300
-11 -10 -14 ba4300
-10 -10 -14 ba4300
-9 -10 -14 ba4300
-14 -9 -14 ba4300
-13 -9 -14 ba4300
-12 -9 -14 ba4300
-11 -9 -14 ba4300
-14 -8 -14 ba4300
-13 -8 -14 ba4300
-12 -8 -14 ba4300
-11 -8 -14 ba4300
-10 -8 -14 ba4300
-9 -8 -14 ba4300
-8 -8 -14 ba4300
-14 -7 -14 ba4300
-13 -7 -14 ba4300
-12 -7 -14 ba4300
-11 -7 -14 ba4300
-10 -7 -14 ba4300
-9 -7 -14 ba4300
-8 -7 -14 ba4300
-7 -7 -14 ba4300
-14 -6 -14 ba4300
-13 -6 -14 ba4300
-12 -6 -14 ba4300
-11 -6 -14 ba4300
-10 -6 -14 ba4300
-9 -6 -14 ba4300
-8 -6 -14 ba4300
-7 -6 -14 ba4300
-13 -5 -14 ba4300
-12 -5 -14 ba4300
-11 -5 -14 ba4300
-10 -5 -14 ba4300
-9 -5 -14 ba4300
-8 -5 -14 ba4300
-7 -5 -14 ba4300
-11 -4 -14 ba4300
-10 -4 -14 ba4300
-9 -4 -14 ba4300
-8 -4 -14 ba4300
-7 -16 -13 ba4300
-6 -16 -13 ba4300
-8 -15 -13 ba4300
-7 -15 -13 ba4300
-6 -15 -13 ba4300
-8 -14 -13 ba4300
-7 -14 -13 ba4300
-6 -14 -13 ba4300
-11 -13 -13 ba4300
-10 -13 -13 ba4300
-8 -13 -13 ba4300
-7 -13 -13 ba4300
-6 -13 -13 ba4300
-13 -12 -13 ba4300
-12 -12 -13 ba4300
-11 -12 -13 ba4300
-10 -12 -13 ba4300
-9 -12 -13 ba4300
-13 -11 -13 ba4300
-12 -11 -13 ba4300
-11 -11 -13 ba4300
-10 -11 -13 ba4300
-9 -11 -13 ba4300
-14 -10 -13 ba4300
-13 -10 -13 ba4300
-12 -10 -13 ba4300
-11 -10 -13 ba4300
-10 -10 -13 ba4300
-14 -9 -13 ba4300
-13 -9 -13 ba4300
-12 -9 -13 ba4300
-11 -9 -13 ba4300
-14 -8 -13 ba4300
-13 -8 -13 ba4300
-12 -8 -13 ba4300
-14 -7 -13 ba4300
-12 -7 -13 ba4300
-11 -7 -13 ba4300
-10 -7 -13 ba4300
-9 -7 -13 ba4300
-13 -6 -13 ba4300
-12 -6 -13 ba4300
-11 -6 -13 ba4300
-10 -6 -13 ba4300
-9 -6 -13 ba4300
-11 -5 -13 ba4300
-10 -5 -13 ba4300
-9 -5 -13 ba4300
-8 -15 -12 bf4b00
-7 -15 -12 bf4b00
-6 -15 -12 bf4b00
-9 -14 -12 bf4b00
-8 -14 -12 bf4b00
-7 -14 -12 bf4b00
-6 -14 -12 bf4b00
-9 -13 -12 bf4b00
-8 -13 -12 bf4b00
-7 -13 -12 bf4b00
-13 -11 -12 ba4300
-12 -11 -12 ba4300
