# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-19 -4 10 bf5f02
-18 -4 10 be5801
-17 -4 10 b45102
-17 -3 10 af4b04
-18 -5 11 af4b04
-19 -4 11 bf5f02
-18 -4 11 b45102
-17 -4 11 913203
-17 -3 11 913203
-18 -5 12 af4b04
-19 -4 12 bf5f02
-18 -4 12 b45102
-17 -4 12 a73f03
-18 -3 12 b45102
-17 -3 12 af4b04
-18 -4 13 be5801
-17 -4 13 a73f03
-18 -3 13 be5801
-17 -3 13 af4b04
-18 -4 14 be5801
-17 -4 14 af4b04
-17 -3 14 af4b04
-17 -4 15 af4b04
-17 -3 15 b45102
-1 -7 0 5c2800
-1 -6 0 5c2800
-1 -5 0 5c2800
-1 -7 1 5c2800
-1 -6 1 5c2800
-1 -5 1 5c2800
-1 -7 2 5c2800
-1 -6 2 5c2800
-1 -5 2 5c2800
-1 -7 3 5c2800
-1 -6 3 5c2800
-1 -3 5 5c2800
-1 -2 5 5c2800
-1 -1 5 5c2800
-1 -5 6 5c2800
-2 -4 6 5c2800
-1 -4 6 5c2800
-2 -3 6 d29007
-1 -3 6 5c2800
-2 -2 6 935703
-1 -2 6 5c2800
-2 -1 6 865005
-1 -1 6 5c2800
-1 -7 7 5c2800
-2 -6 7 532509
-1 -6 7 5c2800
-2 -5 7 c49002
-1 -5 7 5c2800
-3 -4 7 d29007
-2 -4 7 d29007
-1 -4 7 5c2800
-3 -3 7 d29007
-2 -3 7 d29007
-4 -2 7 d29007
-3 -2 7 d29007
-2 -2 7 d29007
-4 -1 7 d29007
-3 -1 7 d29007
-2 -1 7 d3a105
-2 -7 8 865005
-1 -7 8 5c2800
-3 -6 8 d29007
-2 -6 8 d29007
-1 -6 8 5c2800
-4 -5 8 d29007
-3 -5 8 d29007
-2 -5 8 d29007
-4 -4 8 d29007
-3 -4 8 d29007
-2 -4 8 d29007
-10 -3 8 af4b04
-4 -3 8 d29007
-3 -3 8 d29007
-4 -2 8 d29007
-3 -2 8 d29007
-4 -1 8 d29007
-1 -8 9 5c2800
-2 -7 9 c49002
-1 -7 9 5c2800
-4 -6 9 d29007
-3 -6 9 c49002
-2 -6 9 d29007
-4 -5 9 d29007
-3 -5 9 d29007
-5 -4 9 d29007
-4 -4 9 d29007
-11 -3 9 b45102
-10 -3 9 af4b04
-9 -3 9 913203
-8 -3 9 a73f03
-6 -3 9 d29007
-5 -3 9 d29007
-4 -3 9 d29007
-10 -2 9 ad4500
-9 -2 9 a13803
-8 -2 9 a73f03
-6 -2 9 d3a105
-5 -2 9 d29007
-6 -1 9 d29007
-5 -1 9 d29007
-2 -8 10 af7e04
-1 -8 10 532509
-3 -7 10 c49002
-2 -7 10 b98601
-4 -6 10 d29007
-3 -6 10 c49002
-2 -6 10 c49002
-5 -5 10 d29007
-4 -5 10 d29007
-16 -4 10 ad4500
-15 -4 10 a13803
-6 -4 10 d29007
-5 -4 10 d29007
-4 -4 10 d29007
-16 -3 10 ad4500
-15 -3 10 a73f03
-12 -3 10 ad4500
-11 -3 10 a13803
-10 -3 10 8a2c03
-9 -3 10 8a2c03
-8 -3 10 812504
-7 -3 10 d3a105
-6 -3 10 d29007
-5 -3 10 d29007
-11 -2 10 af4b04
-10 -2 10 a73f03
-9 -2 10 913203
-8 -2 10 8a2c03
-7 -2 10 d3a105
-6 -2 10 d3a105
-7 -1 10 d3a105
-6 -1 10 d3a105
-1 -9 11 5c2800
-3 -8 11 af7e04
-2 -8 11 af7e04
-1 -8 11 401e03
-4 -7 11 af8c04
-3 -7 11 af7e04
-2 -7 11 af7e04
-6 -6 11 af8c04
-5 -6 11 c49002
-4 -6 11 c49002
-3 -6 11 b98601
-7 -5 11 b99600
-6 -5 11 c49002
-5 -5 11 c49002
-4 -5 11 c49002
-16 -4 11 a13803
-15 -4 11 913203
-14 -4 11 812504
-8 -4 11 c69d02
-7 -4 11 c69d02
-6 -4 11 d29007
-16 -3 11 a73f03
-15 -3 11 983a06
-14 -3 11 913203
-11 -3 11 a13803
-10 -3 11 812504
-9 -3 11 8a2c03
-8 -3 11 d3a105
-7 -3 11 d3a105
-11 -2 11 a73f03
-10 -2 11 973307
-9 -2 11 8a2c03
-8 -2 11 d3a105
-7 -2 11 d3a105
-9 -1 11 d3a105
-8 -1 11 d3a105
-7 -1 11 d3a105
-1 -9 12 5c2800
-3 -8 12 947c03
-2 -8 12 9f7703
-1 -8 12 532509
-5 -7 12 9e8503
-4 -7 12 9e8503
-3 -7 12 af7e04
-7 -6 12 af8c04
-6 -6 12 af8c04
-5 -6 12 af8c04
-4 -6 12 af8c04
-8 -5 12 af8c04
-7 -5 12 af8c04
-6 -5 12 af8c04
-16 -4 12 983a06
-15 -4 12 8a2c03
-14 -4 12 812504
-13 -4 12 782203
-10 -4 12 b99600
-9 -4 12 b99600
-8 -4 12 c69d02
-7 -4 12 b99600
-16 -3 12 a13803
-15 -3 12 913203
-14 -3 12 8a2c03
-13 -3 12 8a2c03
-11 -3 12 a13803
-10 -3 12 913203
-9 -3 12 d29007
-8 -3 12 c69d02
-11 -2 12 a13803
-10 -2 12 913203
-9 -2 12 d29007
-11 -1 12 c69d02
-10 -1 12 d3a105
-9 -1 12 d3a105
-1 -9 13 532509
-4 -8 13 947c03
-3 -8 13 947c03
-2 -8 13 926f05
-1 -8 13 532509
-6 -7 13 947c03
-5 -7 13 947c03
-4 -7 13 947c03
-3 -7 13 947c03
-8 -6 13 9e8503
-7 -6 13 9e8503
-6 -6 13 9e8503
-5 -6 13 947c03
-11 -5 13 947c03
-10 -5 13 947c03
-9 -5 13 9e8503
-8 -5 13 9e8503
-7 -5 13 9e8503
-16 -4 13 8a2c03
-15 -4 13 8a2c03
-14 -4 13 6e2102
-13 -4 13 8a2c03
-12 -4 13 9e8503
-11 -4 13 af8c04
-10 -4 13 af8c04
-9 -4 13 af8c04
-16 -3 13 8a2c03
-15 -3 13 913203
-14 -3 13 782203
-13 -3 13 812504
-12 -3 13 bf5f02
-11 -3 13 b99600
-10 -3 13 c69d02
-13 -2 13 b99600
-12 -2 13 c69d02
-11 -2 13 c69d02
-10 -2 13 d3a105
-13 -1 13 b99600
-12 -1 13 b99600
-11 -1 13 c69d02
-10 -1 13 d3a105
-2 -9 14 532509
-1 -9 14 532509
-4 -8 14 7e6e0b
-3 -8 14 7e6e0b
-2 -8 14 7e6e0b
-1 -8 14 401e03
-6 -7 14 7e6e0b
-5 -7 14 817500
-4 -7 14 817500
-3 -7 14 817500
-9 -6 14 6d6806
-8 -6 14 817500
-7 -6 14 817500
-6 -6 14 6d6806
-13 -5 14 6d6806
-12 -5 14 7e6e0b
-11 -5 14 7e6e0b
-10 -5 14 7e6e0b
-9 -5 14 817500
-8 -5 14 947c03
-16 -4 14 983a06
-15 -4 14 913203
-14 -4 14 6e2102
-13 -4 14 7e6e0b
-12 -4 14 817500
-11 -4 14 947c03
-16 -3 14 a13803
-15 -3 14 913203
-14 -3 14 6e2102
-14 -2 14 973307
-13 -2 14 947c03
-13 -1 14 7e6e0b
-12 -1 14 947c03
-2 -9 15 532509
-1 -9 15 532509
-5 -8 15 6d6806
-4 -8 15 6d6806
-3 -8 15 6d6806
-2 -8 15 532509
-1 -8 15 532509
-7 -7 15 7e6e0b
-6 -7 15 7e6e0b
-5 -7 15 6d6806
-4 -7 15 6d6806
-10 -6 15 6d6806
-9 -6 15 545c0a
-8 -6 15 6d6806
-7 -6 15 7e6e0b
-13 -5 15 545c0a
-12 -5 15 545c0a
-11 -5 15 60600a
-10 -5 15 6d6806
-9 -5 15 6d6806
-16 -4 15 a73f03
-15 -4 15 913203
-14 -4 15 782203
-13 -4 15 545c0a
-12 -4 15 60600a
-16 -3 15 a73f03
-15 -3 15 8a2c03
-14 -3 15 6d2c00
-14 -2 15 913203
-13 -1 15 545c0a
2 -9 0 5c2800
3 -9 0 5c2800
4 -9 0 5c2800
5 -9 0 532509
0 -8 0 5c2800
1 -8 0 5c2800
2 -8 0 5c2800
3 -8 0 5c2800
4 -8 0 5c2800
5 -8 0 401e03
6 -8 0 5c2800
0 -7 0 5c2800
1 -7 0 6d2c00
2 -7 0 6d2c00
3 -7 0 6d2c00
4 -7 0 5c2800
5 -7 0 532509
6 -7 0 401e03
0 -6 0 5c2800
1 -6 0 6d2c00
2 -6 0 6d2c00
3 -6 0 6d2c00
4 -6 0 6d2c00
5 -6 0 5c2800
6 -6 0 5c2800
0 -5 0 5c2800
