# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-1 -3 1 d37f43
-1 -2 1 cf843e
-1 -4 2 a35134
-1 -3 2 c87b41
-6 -2 2 db8d75
-5 -2 2 db8870
-1 -2 2 d37f43
-6 -1 2 db8d75
-5 -1 2 db8870
-2 -1 2 cf843e
-1 -1 2 cf843e
-4 -5 3 db8d75
-3 -5 3 db8d75
-2 -5 3 db8d75
-5 -4 3 db8d75
-4 -4 3 db8d75
-3 -4 3 db8870
-2 -4 3 db8870
-6 -3 3 db8d75
-5 -3 3 db8d75
-4 -3 3 db8870
-3 -3 3 db8870
-2 -3 3 db8870
-1 -3 3 bc6f32
-6 -2 3 db8d75
-5 -2 3 db8870
-4 -2 3 db8870
-3 -2 3 db8870
-2 -2 3 ad6333
-1 -2 3 ad6333
-6 -1 3 db8870
-5 -1 3 db8870
-4 -1 3 db8870
-3 -1 3 bc6f32
-2 -1 3 c87b41
-4 -5 4 db8d75
-3 -5 4 db8d75
-2 -5 4 db8d75
-1 -5 4 db8d75
-4 -4 4 db8d75
-3 -4 4 db8870
-2 -4 4 db8870
-1 -4 4 db8870
-5 -3 4 db8d75
-4 -3 4 db8870
-3 -3 4 db8870
-2 -3 4 cb7d67
-1 -3 4 cb7d67
-5 -2 4 db8870
-4 -2 4 db8870
-3 -2 4 cf8570
-2 -2 4 c26d53
-1 -2 4 a35134
-5 -1 4 db8870
-4 -1 4 db8870
-3 -1 4 cb7d67
-2 -1 4 a35134
-1 -1 4 9c4d2a
-2 -5 5 db8d75
-1 -5 5 db8d75
-2 -4 5 cf8570
-1 -4 5 cf8570
-2 -3 5 cf8570
-1 -3 5 d26f5a
-2 -2 5 cb7d67
-1 -2 5 d16b4b
-3 -1 5 d26f5a
-2 -1 5 d26f5a
-1 -1 5 d26f5a
-3 -1 6 d26f5a
-2 -1 6 d26f5a
-1 -1 6 d26f5a
-3 -1 7 bc6f32
-2 -1 7 ad6333
-1 -1 7 ad6333
-1 -4 8 d0ab88
-3 -3 8 d0ab88
-2 -3 8 caa280
-1 -3 8 caa280
-4 -2 8 d0ab88
-3 -2 8 caa280
-2 -2 8 c59877
-1 -2 8 c59877
-4 -1 8 d0ab88
-3 -1 8 caa280
-2 -1 8 c59877
-1 -1 8 9c4d2a
-4 -4 9 d9b390
-3 -4 9 d0ab88
-2 -4 9 d0ab88
-1 -4 9 d0ab88
-5 -3 9 d9b390
-4 -3 9 d9b390
-3 -3 9 d0ab88
-2 -3 9 d0ab88
-1 -3 9 d0ab88
-5 -2 9 d9b390
-4 -2 9 d0ab88
-5 -1 9 d9b390
-4 -1 9 d0ab88
-3 -5 10 d9b390
-2 -5 10 d9b390
-1 -5 10 d9b390
-5 -4 10 d9b390
-4 -4 10 d9b390
-3 -4 10 d9b390
-2 -4 10 d9b390
-1 -4 10 d9b390
-5 -3 10 d9b390
-4 -3 10 d9b390
-6 -2 10 d9b390
-5 -2 10 d9b390
-6 -1 10 d9b390
-5 -1 10 d9b390
-4 -5 11 d9b390
-3 -5 11 d9b390
-2 -5 11 d9b390
-1 -5 11 d9b390
-5 -4 11 d9b390
-4 -4 11 d9b390
-6 -3 11 dcb995
-5 -3 11 d9b390
-6 -2 11 d9b390
-6 -1 11 d9b390
-3 -6 12 d9b390
-2 -6 12 d9b390
-1 -6 12 d9b390
-5 -5 12 d9b390
-4 -5 12 d9b390
-3 -5 12 d9b390
-2 -5 12 d9b390
-1 -5 12 d9b390
-5 -4 12 d9b390
-4 -4 12 d9b390
-6 -3 12 dcb995
-5 -3 12 d9b390
-6 -2 12 d9b390
-6 -1 12 d9b390
-3 -6 13 dcb995
-2 -6 13 dcb995
-1 -6 13 d9b390
-5 -5 13 dcb995
-4 -5 13 dcb995
-3 -5 13 dcb995
-2 -5 13 dcb995
-1 -5 13 d9b390
-6 -4 13 dcb995
-5 -4 13 d9b390
-6 -3 13 dcb995
-6 -2 13 dcb995
-7 -1 13 dcb995
-3 -6 14 dcb995
-2 -6 14 dcb995
-1 -6 14 dcb995
-5 -5 14 dcb995
-4 -5 14 dcb995
-3 -5 14 dcb995
-6 -4 14 dcb995
-5 -4 14 dcb995
-6 -3 14 dcb995
-7 -2 14 dcb995
-6 -2 14 dcb995
-7 -1 14 dcb995
-3 -6 15 dcb995
-2 -6 15 dcb995
-1 -6 15 dcb995
-5 -5 15 dcb995
-4 -5 15 dcb995
-3 -5 15 e4be8d
-2 -5 15 9a5002
-1 -5 15 b2680a
-6 -4 15 dcb995
-5 -4 15 dcb995
-4 -4 15 b2680a
-3 -4 15 cf8636
-2 -4 15 9a5002
-1 -4 15 9a5002
-6 -3 15 dcb995
-5 -3 15 b2680a
-4 -3 15 d29a44
-3 -3 15 b97319
-2 -3 15 9a5002
-1 -3 15 9a5002
-6 -2 15 d9b387
-5 -2 15 9a5002
-4 -2 15 a66106
-3 -2 15 d9b387
-2 -2 15 ddb676
-1 -2 15 d29a44
-7 -1 15 dcb995
-6 -1 15 351c0c
-5 -1 15 9a5002
-4 -1 15 d29a44
-3 -1 15 e4be8d
-2 -1 15 edb778
-1 -1 15 9a5002
1 -6 0 b54a3c
0 -5 0 c75442
1 -5 0 c75442
0 -1 0 c95e50
0 -6 1 ba5c43
1 -6 1 c75442
0 -5 1 c75442
1 -5 1 d26f5a
0 -4 1 db8870
1 -4 1 ba5c43
0 -3 1 ae4a2c
1 -3 1 d6875b
0 -2 1 cf843e
0 -5 2 b54a3c
1 -5 2 9d382d
0 -4 2 a73122
1 -4 2 c6795a
0 -3 2 bc6f32
1 -3 2 c87b41
0 -2 2 cf843e
0 -1 2 c87b41
0 -3 3 bc6f32
2 -3 3 db8870
0 -2 3 ad6333
2 -2 3 db8870
3 -2 3 db8d75
0 -1 3 ad6333
2 -1 3 db8870
3 -1 3 db8d75
0 -5 4 db8d75
1 -5 4 db8d75
0 -4 4 db8d75
1 -4 4 cf8570
2 -4 4 db8d75
0 -3 4 d67a62
1 -3 4 db8870
2 -3 4 db8870
3 -3 4 db8d75
0 -2 4 d26f5a
1 -2 4 db8870
2 -2 4 db8870
3 -2 4 db8d75
0 -1 4 c26d53
1 -1 4 db8870
2 -1 4 cf8570
3 -1 4 db8870
4 -1 4 db8d75
0 -5 5 cf8570
0 -4 5 cf8570
1 -4 5 cf8570
2 -4 5 db8d75
0 -3 5 cb7d67
1 -3 5 cf8570
0 -2 5 d26f5a
1 -2 5 cb7d67
2 -2 5 cf8570
0 -1 5 d26f5a
1 -1 5 cb7d67
2 -1 5 cf8570
1 -3 6 ce834a
2 -3 6 ce834a
3 -3 6 ce834a
0 -2 6 c87b41
1 -2 6 c87b41
2 -2 6 d37f43
3 -2 6 ce834a
0 -1 6 c87b41
1 -1 6 c87b41
2 -1 6 ce834a
2 -4 7 ce834a
3 -4 7 ce834a
1 -3 7 ce834a
2 -3 7 ce834a
3 -3 7 ce834a
0 -2 7 c87b41
1 -2 7 c87b41
2 -2 7 ce834a
3 -2 7 ce834a
0 -1 7 a43d20
1 -1 7 c87b41
