# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-1 -6 0 673e2e
-3 -5 0 673e2e
-2 -5 0 5e3f2a
-1 -5 0 502f26
-4 -4 0 673e2e
-3 -4 0 5a372a
-2 -4 0 443127
-1 -4 0 443127
-5 -3 0 673e2e
-4 -3 0 5a372a
-3 -3 0 443127
-2 -3 0 443127
-1 -3 0 443127
-5 -2 0 5a372a
-4 -2 0 443127
-3 -2 0 443127
-2 -2 0 443127
-1 -2 0 502f26
-5 -1 0 5e3f2a
-4 -1 0 5a372a
-3 -1 0 5a372a
-2 -1 0 5a372a
-1 -6 1 70432e
-3 -5 1 5e3f2a
-2 -5 1 673e2e
-1 -5 1 70432e
-5 -4 1 70432e
-4 -4 1 5e3f2a
-3 -4 1 5e3f2a
-2 -4 1 5a372a
-5 -3 1 70432e
-4 -3 1 673e2e
-5 -2 1 764730
-2 -2 1 4e391e
-1 -2 1 502f26
-5 -1 1 5e3c31
-4 -1 1 443127
-3 -1 1 443127
-2 -1 1 443127
-1 -1 1 502f26
-3 -5 2 5e3f2a
-2 -5 2 5e3f2a
-1 -5 2 814f32
-4 -4 2 673e2e
-3 -4 2 5e3f2a
-2 -4 2 4e391e
-1 -4 2 774b27
-5 -3 2 5e3f2a
-4 -3 2 443127
-5 -2 2 673e2e
-1 -2 2 5a372a
-5 -1 2 5a372a
-4 -1 2 3a2b24
-3 -1 2 443127
-2 -1 2 443127
-1 -1 2 502f26
-4 -4 3 5e3f2a
-3 -4 3 5a372a
-2 -4 3 5a372a
-1 -4 3 5a372a
-5 -3 3 5e3f2a
-4 -3 3 443127
-1 -3 3 4b3d30
-5 -2 3 5e3f2a
-1 -2 3 3a2b24
-5 -1 3 574132
-4 -1 3 2c241d
-3 -1 3 3a2b24
-2 -1 3 443127
-1 -1 3 4b3d30
-4 -4 4 5a372a
-3 -4 4 443127
-2 -4 4 3a2b24
-1 -4 4 4e391e
-4 -3 4 574132
-3 -3 4 443127
-2 -3 4 443127
-1 -3 4 5a372a
-4 -2 4 5a372a
-1 -2 4 5a372a
-4 -1 4 3a2b24
-3 -1 4 3a2b24
-2 -1 4 2d2e2b
-1 -1 4 4b3d30
-3 -4 5 4b3d30
-2 -4 5 443127
-4 -3 5 443127
-3 -3 5 3a2b24
-2 -3 5 443127
-1 -3 5 5e3c31
-4 -2 5 443127
-1 -2 5 502f26
-4 -1 5 443127
-3 -1 5 3a2b24
-2 -1 5 3a2b24
-1 -1 5 3a2b24
-2 -8 6 70432e
-1 -8 6 6c3b23
-2 -7 6 70432e
-1 -7 6 6c3b23
-3 -3 6 443127
-2 -3 6 3a2b24
-1 -3 6 443127
-4 -2 6 574132
-3 -2 6 443127
-1 -2 6 443127
-3 -1 6 3a2b24
-2 -1 6 443127
-1 -1 6 443127
-2 -8 7 764730
-1 -8 7 774b27
-2 -7 7 5a372a
-1 -7 7 752d0c
-3 -3 7 443127
-2 -3 7 4e391e
-1 -3 7 574132
-3 -2 7 3a2b24
-1 -2 7 4b3d30
-3 -1 7 3a2b24
-2 -1 7 402c18
-1 -1 7 443127
-2 -8 8 764730
-1 -8 8 443127
-1 -7 8 3a2b24
-4 -3 8 443127
-3 -3 8 443127
-2 -3 8 443127
-1 -3 8 574132
-4 -2 8 2d2e2b
-1 -2 8 443127
-3 -1 8 2d2e2b
-2 -1 8 2d2e2b
-1 -1 8 3a2b24
-2 -8 9 814f32
-1 -8 9 5e3f2a
-2 -7 9 443127
-1 -7 9 443127
-4 -3 9 443127
-3 -3 9 443127
-2 -3 9 4b3d30
-1 -3 9 443127
-5 -2 9 2d2e2b
-4 -2 9 2d2e2b
-1 -2 9 443127
-5 -1 9 2d2e2b
-4 -1 9 2d2e2b
-3 -1 9 3a2b24
-2 -1 9 2c241d
-1 -1 9 2c241d
-2 -8 10 5e3f2a
-1 -8 10 5e3f2a
-2 -7 10 3a2b24
-1 -7 10 3a2b24
-2 -6 10 2c241d
-1 -6 10 3a2b24
-5 -3 10 363d2d
-4 -3 10 2d2e2b
-3 -3 10 2c241d
-2 -3 10 443127
-1 -3 10 2d2e2b
-5 -2 10 3f3f34
-4 -2 10 2d2e2b
-1 -2 10 2d2e2b
-5 -1 10 363d2d
-1 -1 10 2d2e2b
-3 -8 11 443127
-2 -8 11 574132
-1 -8 11 5e3f2a
-4 -7 11 443127
-3 -7 11 3a2b24
-2 -7 11 3a2b24
-1 -7 11 4e391e
-4 -6 11 443127
-3 -6 11 2c241d
-2 -6 11 443127
-1 -6 11 3a2b24
-3 -5 11 2c241d
-3 -4 11 3a2b24
-5 -3 11 414730
-4 -3 11 3e4228
-3 -3 11 3a2b24
-2 -3 11 3e4228
-1 -3 11 363d2d
-5 -2 11 414730
-1 -2 11 3a2b24
-5 -1 11 414730
-3 -8 12 443127
-2 -8 12 443127
-1 -8 12 70432e
-4 -7 12 443127
-3 -7 12 574132
-2 -7 12 443127
-1 -7 12 443127
-4 -6 12 443127
-3 -6 12 443127
-2 -6 12 3a2b24
-4 -5 12 443127
-3 -5 12 443127
-5 -3 12 414730
-4 -3 12 3e4228
-3 -3 12 443127
-2 -3 12 363d2d
-1 -3 12 3a2b24
-5 -2 12 414730
-4 -2 12 414730
-1 -2 12 363d2d
-5 -1 12 414730
-2 -8 13 6a4f34
-4 -7 13 443127
-3 -7 13 574132
-2 -7 13 4e391e
-4 -6 13 443127
-3 -6 13 443127
-2 -6 13 574132
-4 -5 13 443127
-3 -5 13 3a2b24
-4 -4 13 2c241d
-3 -4 13 2c241d
-5 -3 13 3e4228
-4 -3 13 443127
-3 -3 13 3a2b24
-2 -3 13 3a2b24
-1 -3 13 3a2b24
-5 -2 13 414730
-5 -1 13 414730
-4 -7 14 673e2e
-3 -7 14 5e3f2a
-2 -7 14 574132
-4 -6 14 5e3f2a
-3 -6 14 443127
-2 -6 14 574132
-4 -5 14 5a372a
-3 -5 14 4b3d30
-2 -5 14 443127
-4 -4 14 443127
-3 -4 14 2d2e2b
-2 -4 14 2d2e2b
-5 -3 14 414730
-4 -3 14 2d2e2b
-3 -3 14 3a2b24
-2 -3 14 2d2e2b
-1 -3 14 3a2b24
-5 -2 14 4e522d
-5 -1 14 4e522d
-4 -5 15 3e4228
-3 -5 15 4b3d30
-2 -5 15 363d2d
-4 -4 15 3e4228
-2 -4 15 3a2b24
-5 -3 15 414730
-4 -3 15 363d2d
-2 -3 15 2d2e2b
-1 -3 15 443127
-5 -2 15 4e522d
-5 -1 15 4e522d
1 -7 0 70432e
2 -7 0 834926
0 -6 0 5e3c31
1 -6 0 443127
2 -6 0 502f26
3 -6 0 904b33
0 -5 0 502f26
1 -5 0 443127
2 -5 0 443127
3 -5 0 443127
4 -5 0 764730
0 -4 0 443127
1 -4 0 443127
2 -4 0 443127
3 -4 0 443127
4 -4 0 502f26
0 -3 0 443127
1 -3 0 443127
2 -3 0 443127
3 -3 0 502f26
4 -3 0 502f26
5 -3 0 673e2e
0 -2 0 502f26
1 -2 0 502f26
2 -2 0 502f26
3 -2 0 5a372a
4 -2 0 5a372a
5 -2 0 70432e
0 -1 0 5a372a
1 -1 0 5a372a
2 -1 0 5a372a
1 -7 1 ab5f29
0 -6 1 774b27
1 -6 1 ab5f29
2 -6 1 ab5f29
3 -6 1 ab5f29
0 -5 1 834926
1 -5 1 834926
2 -5 1 6c3b23
3 -5 1 ab5f29
2 -4 1 8d5121
