# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-6 -2 0 d9f1ff
-5 -2 0 d9f1ff
-4 -2 0 d9f1ff
-3 -2 0 d2ecff
-6 -1 0 d9f1ff
-5 -1 0 d9f1ff
-4 -1 0 d2ecff
-3 -1 0 d2ecff
-2 -1 0 d2ecff
-5 -2 1 40c0fd
-4 -2 1 40c0fd
-6 -1 1 40c0fd
-5 -1 1 40c0fd
-4 -1 1 40c0fd
-3 -1 1 3db7fd
-2 -1 1 3db7fd
-4 -2 2 647881
-5 -1 2 40c0fd
-4 -1 2 40c0fd
-3 -1 2 40c0fd
-4 -2 3 647881
-3 -2 3 647881
-8 -1 3 58686f
-7 -1 3 58686f
-5 -1 3 58686f
-4 -1 3 647881
-3 -1 3 647881
-2 -1 3 ffeadd
-1 -1 3 ffeadd
-4 -2 4 647881
-3 -2 4 647881
-2 -2 4 ffeadd
-1 -2 4 ffeadd
-7 -1 4 58686f
-6 -1 4 58686f
-5 -1 4 58686f
-4 -1 4 58686f
-3 -1 4 647881
-2 -1 4 ffeadd
-1 -1 4 ffeadd
-3 -2 5 61737a
-2 -2 5 61737a
-1 -2 5 61737a
-7 -1 5 61737a
-6 -1 5 61737a
-5 -1 5 61737a
-4 -1 5 61737a
-3 -1 5 61737a
-2 -1 5 61737a
-2 -2 6 61737a
-1 -2 6 61737a
-8 -1 6 697d84
-7 -1 6 61737a
-5 -1 6 61737a
-4 -1 6 61737a
-3 -1 6 61737a
-2 -1 6 697d84
-1 -2 7 697d84
-8 -1 7 697d84
-7 -1 7 697d84
-2 -1 7 697d84
-1 -1 7 697d84
-8 -1 8 697d84
-1 -1 8 72888f
-1 -1 9 72888f
-1 -1 10 7b929a
0 -5 0 d2ecff
1 -5 0 d2ecff
2 -5 0 d2ecff
3 -5 0 d2ecff
4 -5 0 d2ecff
5 -5 0 d2ecff
0 -4 0 d2ecff
1 -4 0 d2ecff
2 -4 0 d2ecff
3 -4 0 d2ecff
4 -4 0 d2ecff
5 -4 0 d2ecff
0 -3 0 d2ecff
1 -3 0 d2ecff
2 -3 0 d2ecff
3 -3 0 d2ecff
4 -3 0 d2ecff
5 -3 0 d2ecff
0 -5 1 3db7fd
1 -5 1 3db7fd
2 -5 1 3db7fd
3 -5 1 3db7fd
4 -5 1 3db7fd
5 -5 1 3db7fd
0 -4 1 3db7fd
1 -4 1 3db7fd
2 -4 1 3db7fd
3 -4 1 3db7fd
4 -4 1 3db7fd
5 -4 1 3db7fd
1 -3 1 3db7fd
2 -3 1 3db7fd
3 -3 1 3db7fd
4 -3 1 3db7fd
5 -3 1 3db7fd
0 -5 2 3db7fd
1 -5 2 3db7fd
2 -5 2 40c0fd
3 -5 2 3db7fd
0 -4 2 40c0fd
1 -4 2 61737a
2 -4 2 40c0fd
3 -4 2 3db7fd
4 -4 2 3db7fd
1 -3 2 3db7fd
2 -3 2 3db7fd
1 -5 3 647881
2 -5 3 647881
1 -4 3 647881
2 -4 3 647881
1 -3 3 647881
1 -4 4 647881
2 -4 4 647881
1 -3 4 647881
2 -3 4 647881
0 -2 4 ffeadd
1 -2 4 ffeadd
0 -1 4 ffeadd
1 -1 4 ffeadd
2 -1 4 ffeadd
3 -1 4 ffeadd
1 -4 5 697d84
2 -4 5 697d84
1 -3 5 697d84
2 -3 5 697d84
0 -2 5 ffeadd
1 -2 5 697d84
2 -2 5 697d84
3 -2 5 ffeadd
4 -2 5 ffeadd
2 -1 5 ffeadd
3 -1 5 ffeadd
4 -1 5 ffeadd
5 -1 5 ffeadd
1 -3 6 697d84
2 -3 6 697d84
0 -2 6 697d84
1 -2 6 697d84
2 -2 6 697d84
3 -2 6 ffeadd
4 -2 6 ffeadd
5 -2 6 ffeadd
6 -2 6 ffeadd
4 -1 6 ffeadd
5 -1 6 ffeadd
6 -1 6 ffeadd
7 -1 6 ffeadd
0 -2 7 697d84
1 -2 7 697d84
2 -2 7 697d84
3 -2 7 697d84
4 -2 7 697d84
5 -2 7 1e2426
6 -2 7 697d84
7 -2 7 697d84
0 -1 7 697d84
5 -1 7 1e2426
6 -1 7 697d84
7 -1 7 ffeadd
0 -2 8 697d84
1 -2 8 697d84
2 -2 8 697d84
3 -2 8 72888f
4 -2 8 72888f
5 -2 8 697d84
6 -2 8 697d84
0 -1 8 72888f
1 -1 8 72888f
2 -1 8 72888f
3 -1 8 72888f
4 -1 8 72888f
5 -1 8 72888f
6 -1 8 697d84
7 -1 8 697d84
0 -1 9 72888f
1 -1 9 72888f
2 -1 9 72888f
0 -1 10 72888f
-6 0 0 d9f1ff
-5 0 0 d9f1ff
-4 0 0 d2ecff
-3 0 0 d2ecff
-2 0 0 d2ecff
-1 0 0 d2ecff
-4 1 0 3db7fd
-3 1 0 d2ecff
-2 1 0 d2ecff
-1 2 0 d2ecff
-1 3 0 d2ecff
-1 4 0 d2ecff
-5 0 1 40c0fd
-4 0 1 40c0fd
-3 0 1 3db7fd
-2 0 1 3db7fd
-1 0 1 d9f1ff
-4 1 1 40c0fd
-3 1 1 3db7fd
-2 1 1 3db7fd
-1 2 1 3db7fd
-1 3 1 3db7fd
-1 4 1 3db7fd
-5 0 2 40c0fd
-4 0 2 647881
-3 0 2 647881
-4 1 2 647881
-1 2 2 40c0fd
-1 3 2 40c0fd
-1 4 2 3db7fd
-7 0 3 58686f
-5 0 3 58686f
-4 0 3 647881
-3 0 3 647881
-2 0 3 ffeadd
-1 0 3 ffeadd
-4 1 3 647881
-3 1 3 647881
-7 0 4 58686f
-6 0 4 61737a
-5 0 4 58686f
-4 0 4 ffeadd
-3 0 4 ffeadd
-2 0 4 ffeadd
-1 0 4 ffeadd
-4 1 4 647881
-3 1 4 647881
-2 1 4 ffeadd
-1 1 4 ffeadd
-7 0 5 61737a
-6 0 5 61737a
-5 0 5 61737a
-4 0 5 61737a
-3 0 5 61737a
-3 1 5 61737a
-2 1 5 61737a
-1 1 5 61737a
-7 0 6 61737a
-5 0 6 61737a
-4 0 6 61737a
-3 0 6 61737a
-2 0 6 697d84
-3 1 6 61737a
-2 1 6 61737a
-1 1 6 697d84
-2 0 7 697d84
-1 0 7 697d84
-2 1 7 697d84
-1 1 7 697d84
-1 0 8 697d84
-1 0 9 72888f
-1 0 10 7b929a
0 2 0 d2ecff
1 2 0 d2ecff
2 2 0 39acfc
3 2 0 d2ecff
4 2 0 d2ecff
0 3 0 d2ecff
1 3 0 d2ecff
2 3 0 d2ecff
3 3 0 d2ecff
4 3 0 d2ecff
0 4 0 d2ecff
1 4 0 39acfc
2 4 0 d2ecff
3 4 0 d2ecff
4 4 0 d2ecff
1 5 0 39acfc
2 5 0 39acfc
3 5 0 39acfc
4 5 0 d2ecff
0 2 1 3db7fd
1 2 1 3db7fd
2 2 1 3db7fd
3 2 1 3db7fd
0 3 1 61737a
1 3 1 3db7fd
