# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-5 -4 1 bc7911
-4 -4 1 bc7911
-3 -4 1 bc7911
-7 -3 1 bc7911
-6 -3 1 bc7911
-5 -3 1 bc7911
-4 -3 1 bc7911
-3 -3 1 af7a08
-2 -3 1 d49009
-7 -2 1 bc7911
-6 -2 1 bc7911
-5 -2 1 bc7911
-4 -2 1 bc7911
-3 -2 1 86651e
-2 -2 1 d49009
-7 -1 1 bc7911
-6 -1 1 bc7911
-5 -1 1 bc7911
-4 -1 1 bc7911
-3 -1 1 af7a08
-2 -1 1 c48d0c
-5 -4 2 bc7911
-4 -4 2 bc7911
-8 -3 2 bc7911
-7 -3 2 bc7911
-6 -3 2 bc7911
-5 -3 2 bc7911
-4 -3 2 c5821a
-3 -3 2 d69716
-8 -2 2 bc7911
-7 -2 2 bc7911
-5 -2 2 c5821a
-4 -2 2 d69716
-3 -2 2 dfa11a
-8 -1 2 bc7911
-7 -1 2 bc7911
-6 -1 2 bc7911
-5 -1 2 b67413
-4 -1 2 bc7911
-3 -1 2 dfa11a
-2 -1 2 dfa11a
-8 -3 3 b67413
-7 -3 3 bc7911
-6 -3 3 bc7911
-5 -3 3 bc7911
-8 -2 3 bc7911
-5 -2 3 bc7911
-8 -1 3 b67413
-7 -1 3 b67413
-6 -1 3 b67413
-5 -1 3 b67413
-8 -3 4 b67413
-7 -3 4 b67413
-6 -3 4 bc7911
-5 -3 4 bc7911
-4 -3 4 bc7911
-8 -2 4 b67413
-7 -2 4 b67413
-5 -2 4 bc7911
-4 -2 4 bc7911
-3 -2 4 c5821a
-8 -1 4 b67413
-7 -1 4 b67413
-6 -1 4 b67413
-5 -1 4 bc7911
-4 -1 4 b67413
-7 -3 5 b67413
-6 -3 5 bc7911
-5 -3 5 bc7911
-4 -3 5 bc7911
-3 -3 5 bc7911
-7 -2 5 b67413
-6 -2 5 bc7911
-3 -2 5 bc7911
-2 -2 5 bc7911
-7 -1 5 b67413
-6 -1 5 b67413
-5 -1 5 b67413
-4 -1 5 b67413
-3 -1 5 b67413
-6 -3 6 b67413
-5 -3 6 bc7911
-4 -3 6 bc7911
-3 -3 6 bc7911
-2 -3 6 bc7911
-6 -2 6 bc7911
-5 -2 6 b67413
-2 -2 6 bc7911
-6 -1 6 b67413
-5 -1 6 b67413
-4 -1 6 b67413
-3 -1 6 b67413
-2 -1 6 a76a0f
-4 -4 7 bc7911
-3 -4 7 bc7911
-2 -4 7 a76a0f
-1 -4 7 0d170c
-5 -3 7 b67413
-4 -3 7 bc7911
-3 -3 7 bc7911
-2 -3 7 b67413
-1 -3 7 8b5b13
-5 -2 7 b67413
-1 -2 7 a06b05
-5 -1 7 b67413
-4 -1 7 975e07
-3 -1 7 7a4906
-2 -1 7 7a4906
-1 -1 7 04110a
-4 -4 8 0d170c
-3 -4 8 040905
-2 -4 8 04110a
-1 -4 8 0d170c
