# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-1 -9 0 c46837
-2 -8 0 ab5827
-1 -8 0 c46837
-2 -7 0 c46837
-1 -7 0 c7733b
-2 -6 0 c46837
-1 -6 0 c46837
-3 -5 0 c46837
-2 -5 0 c7733b
-1 -5 0 c7733b
-3 -4 0 c46837
-2 -4 0 c7733b
-1 -4 0 c7733b
-3 -3 0 c46837
-2 -3 0 c46837
-1 -3 0 c46837
-3 -2 0 c46837
-2 -2 0 9f420b
-1 -2 0 c46837
-1 -9 1 c7733b
-2 -8 1 c7733b
-1 -8 1 c7733b
-2 -7 1 c7733b
-3 -6 1 c46837
-2 -6 1 c7733b
-3 -5 1 c7733b
-3 -4 1 a04e1a
-4 -3 1 c7733b
-3 -3 1 c46837
-4 -2 1 c7733b
-3 -2 1 a04e1a
-2 -2 1 c46837
-1 -2 1 c46837
-3 -1 1 b96d39
-2 -1 1 9f420b
-1 -1 1 c46837
-1 -9 2 c7733b
-2 -8 2 c7733b
-1 -8 2 c7733b
-2 -7 2 c7733b
-3 -6 2 c7733b
-2 -6 2 c7733b
-3 -5 2 c7733b
-4 -4 2 c7733b
-3 -4 2 c7733b
-4 -3 2 c7733b
-3 -2 2 b96d39
-2 -2 2 ca621c
-1 -2 2 b96d39
-3 -1 2 b96d39
-2 -1 2 ca621c
-1 -1 2 c46837
-1 -8 3 d18342
-2 -7 3 bf7545
-1 -7 3 d18342
-3 -6 3 c7733b
-2 -6 3 c7733b
-1 -6 3 d18342
-3 -5 3 c7733b
-3 -4 3 c7733b
-4 -3 3 c7733b
-3 -2 3 b6612c
-2 -2 3 b6612c
-1 -2 3 b6612c
-2 -1 3 b6612c
-1 -1 3 b96d39
-3 -6 4 bf7545
-2 -6 4 c4ac79
-1 -6 4 d2b584
-3 -5 4 c7733b
-2 -5 4 d2b584
-3 -4 4 ceb695
-4 -3 4 c4ac79
-3 -3 4 b69b7d
-3 -2 4 ab9171
-2 -2 4 ab9171
-1 -2 4 aa8663
-2 -1 4 aa8663
-1 -1 4 aa8663
-2 -6 5 d2b584
-1 -6 5 d2b584
-3 -5 5 c5af90
-2 -5 5 d2b584
-1 -5 5 c4ac79
-3 -4 5 c5af90
-3 -3 5 b69b7d
-3 -2 5 1c1810
-2 -2 5 2b210c
-1 -2 5 a58159
-2 -1 5 2b210c
-1 -1 5 a58159
-2 -6 6 c4ac79
-1 -6 6 c4ac79
-3 -5 6 bfa688
-2 -5 6 c4ac79
-1 -5 6 c4ac79
-3 -4 6 c4ac79
-3 -3 6 96886d
-3 -2 6 1c1810
-2 -2 6 2b210c
-1 -2 6 2e2218
-2 -6 7 2e2218
-3 -5 7 2e2218
-2 -5 7 2e2218
-1 -5 7 2e2218
-3 -4 7 443629
-3 -3 7 ab9171
-3 -2 7 1c1810
-2 -2 7 1c1810
-1 -2 7 2e2218
-2 -6 8 2e2218
-3 -5 8 2e2218
-2 -5 8 2e2218
-1 -5 8 2e2218
-3 -4 8 2e2218
-3 -3 8 a3826b
-4 -2 8 1e0f00
-3 -2 8 a3826b
-2 -2 8 97723c
-1 -2 8 aa8663
-4 -1 8 464032
-3 -1 8 2e2218
-2 -1 8 2e2218
-1 -1 8 c19d73
-2 -6 9 2b210c
-1 -6 9 2e2218
-4 -5 9 ab9171
-3 -5 9 2e2218
-2 -5 9 2e2218
-1 -5 9 2e2218
-5 -4 9 bfa688
-4 -4 9 b69b7d
-3 -4 9 1c1810
-6 -3 9 443629
-5 -3 9 2e2218
-4 -3 9 1e0f00
-3 -3 9 202823
-6 -2 9 443629
-5 -2 9 2e2218
-4 -2 9 2e2218
-3 -2 9 2e2218
-2 -2 9 1c1810
-1 -2 9 b28859
-6 -1 9 b69b7d
-5 -1 9 1e0f00
-4 -1 9 2e2218
-3 -1 9 2e2218
-2 -1 9 2b210c
-1 -1 9 c19d73
-4 -7 10 2e2218
-3 -7 10 2e2218
-2 -7 10 2e2218
-1 -7 10 2e2218
-5 -6 10 b69b7d
-4 -6 10 321801
-3 -6 10 2b210c
-2 -6 10 2b210c
-1 -6 10 2e2218
-6 -5 10 c5af90
-5 -5 10 c5af90
-4 -5 10 ab9171
-3 -5 10 1c1810
-2 -5 10 1c1810
-1 -5 10 1c1810
-7 -4 10 ceb695
-6 -4 10 c5af90
-5 -4 10 c5af90
-4 -4 10 c4ac79
-8 -3 10 ceb695
-7 -3 10 ceb695
-6 -3 10 ceb695
-5 -3 10 2e2218
-8 -2 10 ceb695
-7 -2 10 ceb695
-6 -2 10 ceb695
-8 -1 10 ceb695
-7 -1 10 c5af90
-6 -1 10 c5af90
-4 -8 11 2e2218
-3 -8 11 2e2218
-2 -8 11 2e2218
-1 -8 11 2e2218
-6 -7 11 2e2218
-5 -7 11 2e2218
-4 -7 11 2e2218
-3 -7 11 2e2218
-2 -7 11 2e2218
-1 -7 11 2e2218
-7 -6 11 c5af90
-6 -6 11 c5af90
-5 -6 11 a6967b
-4 -6 11 2e2218
-8 -5 11 ceb695
-7 -5 11 c5af90
-6 -5 11 c5af90
-8 -4 11 c5af90
-7 -4 11 ceb695
-9 -3 11 ceb695
-8 -3 11 ceb695
-7 -3 11 ceb695
-9 -2 11 ceb695
-8 -2 11 ceb695
-9 -1 11 ceb695
-8 -1 11 ceb695
-3 -9 12 2e2218
-2 -9 12 2e2218
-1 -9 12 2e2218
-6 -8 12 2e2218
-5 -8 12 2e2218
-4 -8 12 2e2218
-3 -8 12 2e2218
-2 -8 12 2e2218
-1 -8 12 2e2218
-7 -7 12 2e2218
-6 -7 12 372613
-5 -7 12 2e2218
-8 -6 12 96886d
-7 -6 12 685b4b
-6 -6 12 2e2218
-8 -5 12 c5af90
-7 -5 12 ceb695
-9 -4 12 c5af90
-8 -4 12 ceb695
-9 -3 12 c5af90
-8 -3 12 ceb695
-9 -2 12 ceb695
-9 -1 12 ceb695
-5 -9 13 2e2218
-4 -9 13 2e2218
-3 -9 13 2e2218
-2 -9 13 2e2218
-1 -9 13 2e2218
-7 -8 13 2e2218
-6 -8 13 2e2218
-5 -8 13 2e2218
-4 -8 13 2e2218
-3 -8 13 2e2218
-8 -7 13 2e2218
-7 -7 13 2e2218
-6 -7 13 2e2218
-8 -6 13 2e2218
-7 -6 13 2e2218
-9 -5 13 c5af90
-8 -5 13 c5af90
-9 -4 13 ceb695
-10 -3 13 c5af90
-9 -3 13 ceb695
-10 -2 13 c5af90
-10 -1 13 c5af90
-3 -10 14 2e2218
-2 -10 14 2e2218
-1 -10 14 2e2218
-6 -9 14 2e2218
-5 -9 14 2e2218
-4 -9 14 2e2218
-3 -9 14 2e2218
-2 -9 14 2e2218
-1 -9 14 2e2218
-7 -8 14 2e2218
-6 -8 14 2e2218
-5 -8 14 2e2218
-8 -7 14 2e2218
-7 -7 14 2e2218
-9 -6 14 2e2218
-8 -6 14 2e2218
-9 -5 14 c5af90
-10 -4 14 c5af90
-9 -4 14 c5af90
-10 -3 14 c5af90
-10 -2 14 c5af90
-10 -1 14 c5af90
-1 -16 15 3c271c
-1 -15 15 3c271c
-4 -10 15 2e2218
-3 -10 15 2b210c
-2 -10 15 1c1810
-1 -10 15 1c1810
-6 -9 15 2e2218
-5 -9 15 2e2218
-4 -9 15 2e2218
-3 -9 15 1c1810
-2 -9 15 2e2218
-1 -9 15 1c1810
-8 -8 15 2e2218
-7 -8 15 2e2218
-6 -8 15 2e2218
-8 -7 15 2e2218
-7 -7 15 2e2218
-9 -6 15 2e2218
-10 -5 15 c5af90
-9 -5 15 c5af90
-10 -4 15 c5af90
-10 -3 15 c5af90
-10 -2 15 c5af90
-11 -1 15 c5af90
1 -10 0 c7733b
0 -9 0 b06037
1 -9 0 ab5827
2 -9 0 ab5827
0 -8 0 c46837
1 -8 0 9c4e26
2 -8 0 a74d35
3 -8 0 ab5827
0 -7 0 c7733b
1 -7 0 c46837
2 -7 0 9c4e26
3 -7 0 a74d35
4 -7 0 b06037
0 -6 0 c7733b
1 -6 0 d06c40
2 -6 0 ab5827
3 -6 0 a74d35
4 -6 0 91461b
5 -6 0 b96d39
0 -5 0 d06c40
1 -5 0 d06c40
2 -5 0 c46837
3 -5 0 ab5827
4 -5 0 a74d35
5 -5 0 b06037
0 -4 0 d06c40
1 -4 0 d06c40
2 -4 0 c46837
3 -4 0 a74d35
4 -4 0 ab5827
5 -4 0 c7733b
0 -3 0 d06c40
1 -3 0 c46837
2 -3 0 c46837
3 -3 0 c7733b
4 -3 0 c7733b
0 -2 0 c46837
1 -2 0 8b390e
2 -2 0 c46837
0 -10 1 c7733b
1 -10 1 c7733b
0 -9 1 c7733b
1 -9 1 b96d39
2 -9 1 ab5827
3 -9 1 c7733b
0 -8 1 9c4e26
1 -8 1 9c4e26
2 -8 1 873d1d
3 -8 1 c46837
2 -7 1 91461b
3 -7 1 873d1d
4 -7 1 c7733b
5 -7 1 c7733b
4 -6 1 9c4e26
5 -6 1 c7733b
4 -5 1 d18342
5 -5 1 cd7d36
4 -4 1 cd7d36
5 -4 1 cd7d36
2 -3 1 c7733b
3 -3 1 c7733b
4 -3 1 c7733b
0 -2 1 c46837
1 -2 1 c46837
2 -2 1 c7733b
3 -2 1 c7733b
0 -1 1 c46837
0 -9 2 cd7d36
1 -9 2 c7733b
2 -9 2 b96d39
0 -8 2 c7733b
1 -8 2 ab5827
2 -8 2 c7733b
3 -8 2 c7733b
1 -7 2 cd7d36
2 -7 2 c7733b
3 -7 2 ab5827
4 -7 2 d18342
2 -6 2 cd7d36
3 -6 2 cd7d36
4 -6 2 c7733b
3 -5 2 cd7d36
4 -5 2 c46837
5 -5 2 d18342
3 -4 2 d18342
4 -4 2 cd7d36
5 -4 2 cd7d36
2 -3 2 cd7d36
3 -3 2 cd7d36
4 -3 2 cd7d36
0 -2 2 c7733b
1 -2 2 c7733b
2 -2 2 c7733b
0 -1 2 b96d39
0 -8 3 d18342
0 -7 3 d18342
1 -7 3 d18342
2 -7 3 cd7d36
0 -6 3 cd7d36
1 -6 3 d18342
2 -6 3 d18342
1 -5 3 d18342
2 -5 3 d18342
3 -5 3 d18342
1 -4 3 d18342
2 -4 3 d18342
3 -4 3 d18342
1 -3 3 d18342
2 -3 3 d18342
3 -3 3 d18342
0 -2 3 b96d39
1 -2 3 c7733b
2 -2 3 cd7d36
0 -1 3 b96d39
0 -6 4 cd7d36
1 -6 4 d18342
0 -5 4 b28859
1 -5 4 d18342
1 -4 4 d18342
2 -4 4 d18342
1 -3 4 d8bb8f
0 -2 4 c19d73
1 -2 4 d2b584
0 -1 4 b8956c
0 -5 5 d2b584
0 -4 5 d8bb8f
1 -4 5 d8bb8f
0 -3 5 d8bb8f
1 -3 5 d8bb8f
0 -2 5 c19d73
0 -5 6 c4ac79
0 -4 6 d2b584
0 -3 6 d2b584
0 -2 6 c4ac79
0 -5 7 2e2218
0 -4 7 c4ac79
0 -3 7 b9a975
0 -2 7 7c6f5d
0 -5 8 2e2218
0 -4 8 2e2218
0 -3 8 ab9171
0 -2 8 aa8663
0 -1 8 c4ac79
1 -1 8 d2b584
0 -5 9 2b210c
1 -5 9 2b210c
0 -4 9 2e2218
1 -4 9 bfa688
2 -4 9 ceb695
0 -3 9 856a4c
1 -3 9 c5af90
2 -3 9 c5af90
3 -3 9 ceb695
0 -2 9 0c1104
1 -2 9 c5af90
2 -2 9 ceb695
3 -2 9 d8bb8f
0 -1 9 c4ac79
1 -1 9 d2b584
2 -1 9 d8bb8f
3 -1 9 ceb695
4 -1 9 ceb695
0 -7 10 2e2218
0 -6 10 2e2218
1 -6 10 2e2218
2 -6 10 2e2218
0 -5 10 191207
1 -5 10 2e2218
2 -5 10 2b210c
3 -5 10 2e2218
1 -4 10 c5af90
2 -4 10 b69b7d
3 -4 10 c5af90
4 -4 10 bfa688
2 -3 10 ceb695
3 -3 10 ceb695
4 -3 10 c5af90
3 -2 10 ceb695
4 -2 10 ceb695
5 -2 10 c5af90
3 -1 10 ceb695
4 -1 10 ceb695
5 -1 10 c5af90
0 -8 11 2e2218
1 -8 11 2e2218
0 -7 11 2e2218
1 -7 11 2e2218
2 -7 11 2e2218
3 -7 11 2e2218
1 -6 11 2e2218
2 -6 11 2e2218
3 -6 11 2e2218
4 -6 11 2e2218
3 -5 11 2e2218
4 -5 11 2e2218
5 -5 11 2e2218
4 -4 11 67513b
5 -4 11 bfa688
4 -3 11 c5af90
5 -3 11 bfa688
4 -2 11 c5af90
5 -2 11 bfa688
6 -2 11 bfa688
5 -1 11 c5af90
6 -1 11 bfa688
0 -9 12 2e2218
10 -9 12 3c271c
0 -8 12 2e2218
1 -8 12 2e2218
2 -8 12 2e2218
10 -8 12 3c271c
11 -8 12 3c271c
1 -7 12 2e2218
2 -7 12 2e2218
3 -7 12 2e2218
4 -7 12 2e2218
11 -7 12 3c271c
12 -7 12 3c271c
3 -6 12 2e2218
4 -6 12 2e2218
5 -6 12 2e2218
11 -6 12 3c271c
12 -6 12 372613
4 -5 12 2e2218
5 -5 12 2e2218
11 -5 12 382d1e
12 -5 12 3c271c
5 -4 12 5b4a40
6 -4 12 785f55
11 -4 12 372613
12 -4 12 3c271c
13 -4 12 3a2e25
5 -3 12 b69b7d
6 -3 12 b69b7d
11 -3 12 3c271c
12 -3 12 3c271c
13 -3 12 3c271c
6 -2 12 b69b7d
11 -2 12 3c271c
12 -2 12 372613
13 -2 12 382d1e
6 -1 12 b69b7d
11 -1 12 382d1e
12 -1 12 3c271c
13 -1 12 3c271c
6 -13 13 3c271c
7 -13 13 3c271c
8 -13 13 443629
6 -12 13 3c271c
7 -12 13 3c271c
8 -12 13 3c271c
9 -12 13 443629
7 -11 13 3c271c
8 -11 13 3c271c
9 -11 13 3c271c
10 -11 13 443629
7 -10 13 3c271c
8 -10 13 3c271c
9 -10 13 3c271c
10 -10 13 3f2d1f
0 -9 13 2e2218
1 -9 13 2e2218
2 -9 13 2e2218
7 -9 13 3c271c
8 -9 13 3c271c
9 -9 13 3c271c
10 -9 13 3c271c
11 -9 13 443629
0 -8 13 2e2218
1 -8 13 2e2218
2 -8 13 2e2218
3 -8 13 2e2218
7 -8 13 3c271c
8 -8 13 3c271c
9 -8 13 3c271c
10 -8 13 3c271c
11 -8 13 523921
3 -7 13 2e2218
4 -7 13 2e2218
5 -7 13 2e2218
7 -7 13 2e2218
8 -7 13 3c271c
9 -7 13 3c271c
10 -7 13 3c271c
11 -7 13 a58159
12 -7 13 443629
4 -6 13 2e2218
5 -6 13 2e2218
8 -6 13 3c271c
9 -6 13 3c271c
10 -6 13 3c271c
11 -6 13 a58159
12 -6 13 8b8064
5 -5 13 2e2218
6 -5 13 2e2218
8 -5 13 372613
9 -5 13 372613
10 -5 13 3c271c
11 -5 13 1e0f00
12 -5 13 9c7d5a
6 -4 13 685b4b
8 -4 13 2e2218
9 -4 13 3c271c
10 -4 13 3c271c
11 -4 13 1c1810
